"review_id","lang","rating","title","comment"
"r001","es",5,"Excelente producto","El envio llego rapidisimo, pero el empaque estaba roto. Igual funciona perfecto!"
"r002","es",3,"Regular","Lo use dos semanas y ya empezo a fallar :( la bateria se descarga muy rapido."
"r003","es",4,"Buena compra","Me gusto, aunque las instruciones vienen solo en ingles y con muchas abreviaturas."
"r004","es",1,"Mala calidad","No sirvio, venia sucio y parecia reusado. Ademas tardo un monton el envio."
"r005","es",2,"Decepcion","La pantalla tenia un pixel muerto y el vendedor no responde. No lo recomendaria."
"r006","es",5,"Me encanto","Pequeno pero potente, el sonido es clarito. Lo compre en promo y valio la pena."
"r007","es",4,"Cumple","La camara es buena, pero el estabilizador no es tan wow como dicen en los reviews."
"r008","es",3,"Esperaba mas","La caja llego golpeada y el cable fue distinto al de la foto. Igual funciona ok."
"r009","es",5,"Rapido","Entrega antes de tiempo, todo bn empacado. Lo uso diario y cero problemas."
"r010","es",2,"No funciono","Traia olor raro, y al segundo dia ya no encendio. Pedi devolucon."
"r011","en",5,"Works great","Setup was super easy, conects fast and the battery lasts forever, love it!"
"r012","en",4,"Solid choice","Good value for $$, only downside is the plastick feel but performance is fine."
"r013","en",2,"Disappointed","Item arrived with scrathes and missing cable, customer suport was slooow."
"r014","en",1,"Terrible","Stopped working after 3 days. Tried rebooting several times, nothing. Waste of money."
"r015","en",3,"Just ok","Sound is decent but mic picks up too much noise. Manual has typos all over."
"r016","en",4,"Nice gadget","Lightweight, fits in my bag. App had a bug but update fixed it. Reccomend."
"r017","en",2,"Not as pictured","Color was completly different, and box looked openned. Returning it."
"r018","en",5,"Love it","Super bright screen, smooth scrolling. Shipping came 2 days earlier, yay!"
"r019","en",3,"Average","Battery ok, camera meh. For the price it's fine but nothing amazzing."
"r020","en",4,"Good but noisy","Fan makes a whirring nois but overall it does the job."
